parent,child,similarity
sbicard.com,sbicard-cpp.in,19.81513645273588
sbicard.com,pawnbirdtoss.com,20.472493703571722
icicibank.com,icicicards.com,26.39531039045504
sbi.co.in,bs2shop.in,28.449245532028367
sbi.co.in,bs2shop2.in,28.44924553202836
hdfclife.com,hdfcloan.online,50.501148294387434
sbi.co.in,sbicard-cpp.in,52.46348932086884
hdfc.com,hdfcloan.online,54.54946633635613
icicibank.com,icicicorporatebankings.com,99.99911745912205
onlinesbi.sbi,onlineicici.in,99.99999999999997
onlinesbi.sbi,banksbi.in,100.00000000000033
